Period,Minutes,Seconds,playerId,playerName,typeId,outcome,x,y,xGOT,xG,Game,Date,Team,Type,Opposition,Season,Competition,Player
Second Half,51,57,5z0wixobrtfh429zonapsxe6s,S. Kwayiba,13,1,96.5,51.3,0.0,0.6393970251083374,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Chippa United,Miss,Marumo Gallants,2024/25,Premier Soccer League,Sinoxolo Kwayiba
Second Half,53,36,csatemwy3knruyrig5e2zixg5,G. Mhango,16,1,95.2,54.4,0.7361922264099121,0.4329940378665924,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Marumo Gallants,Goal,Chippa United,2024/25,Premier Soccer League,Gabadinho Mhango
Second Half,57,5,24czl7uxmsvc8vnr89kwe6z9w,G. Philander,15,1,84.6,64.2,0.119341030716896,0.050547856837511,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Chippa United,Saved,Marumo Gallants,2024/25,Premier Soccer League,Giovanni Philander
Second Half,62,7,4dj3doy15sr76gh8jpsnuz2p6,K. Mahlatsi,15,1,74.3,56.4,0.018415218219161,0.0250937193632125,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Marumo Gallants,Saved,Chippa United,2024/25,Premier Soccer League,Kamohelo Mahlatsi
Second Half,64,43,csatemwy3knruyrig5e2zixg5,G. Mhango,13,1,55.8,71.1,0.0,0.0191725809127092,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Marumo Gallants,Miss,Chippa United,2024/25,Premier Soccer League,Gabadinho Mhango
Second Half,66,35,aagh95qo6wlq300pfopryr5gq,B. Eva Nga,15,1,79.7,65.8,0.2503540217876434,0.0559588633477687,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Chippa United,Saved,Marumo Gallants,2024/25,Premier Soccer League,Bienvenu Eva Nga
Second Half,69,53,24czl7uxmsvc8vnr89kwe6z9w,G. Philander,13,1,90.9,64.4,0.0,0.0632678717374801,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Chippa United,Miss,Marumo Gallants,2024/25,Premier Soccer League,Giovanni Philander
Second Half,75,47,8m62sdi2lztf96dbsqu9bdn9w,A. Teto,15,1,81.3,48.3,0.0,0.1763157248497009,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Chippa United,Saved,Marumo Gallants,2024/25,Premier Soccer League,Aphelele Teto
Second Half,78,42,ahg3dkqqvp8pqwqpp80e4g0yd,A. Konqobe,15,1,71.8,44.4,0.0290679093450307,0.0229959655553102,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Chippa United,Saved,Marumo Gallants,2024/25,Premier Soccer League,Ayabulela Konqobe
Second Half,87,43,8kxhyiqp1osk7gyby1oxx4kb9,D. Manaka,13,1,72.3,71.1,0.0,0.0042410693131387,Chippa United vs Marumo Gallants - 2:2,2025-01-18,Marumo Gallants,Miss,Chippa United,2024/25,Premier Soccer League,Diala Manaka
First Half,2,4,ofjwonxr2qbe6o1kkdq662y2,A. Van Rooi,15,1,90.3,52.8,0.2758538722991943,0.3698945641517639,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Angelo Van Rooi
First Half,2,41,1zjbfgprxq1lc53vztk125v1m,S. Mahlangu,13,1,91.1,54.2,0.0,0.098856084048748,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Miss,Golden Arrows,2024/25,Premier Soccer League,Sphiwe Mahlangu
First Half,14,10,9adqw1cqiif4h32d6hn0xiq6s,S. Mthanti,15,1,91.1,27.6,0.0837614312767982,0.0209629964083433,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Siyanda Mthanti
First Half,15,35,9adqw1cqiif4h32d6hn0xiq6s,S. Mthanti,15,1,72.2,62.7,0.1781115978956222,0.0394025407731533,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Siyanda Mthanti
First Half,16,16,aaq76r4bh8ttkanfbkf4go25l,V. Ndwandwe,16,1,97.1,58.7,0.06714728474617,0.0925677642226219,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Goal,TS Galaxy,2024/25,Premier Soccer League,Velemseni Ndwandwe
First Half,19,55,c38nw942u1sycwpxtfbrw8h5h,V. Letsoalo,16,1,96.5,48.4,0.9844008088111876,0.784852147102356,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Goal,Golden Arrows,2024/25,Premier Soccer League,Victor Letsoalo
First Half,33,0,ofjwonxr2qbe6o1kkdq662y2,A. Van Rooi,15,1,92.9,54.8,0.7619062662124634,0.4018651843070984,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Angelo Van Rooi
First Half,37,59,1zjbfgprxq1lc53vztk125v1m,S. Mahlangu,15,1,76.5,59.3,0.0,0.0210373811423778,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Saved,Golden Arrows,2024/25,Premier Soccer League,Sphiwe Mahlangu
First Half,39,52,94p2i27lhoff9ou052cevuvah,M. Mbunjana,15,1,92.3,52.3,0.1270751655101776,0.1461083143949508,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Saved,Golden Arrows,2024/25,Premier Soccer League,Mlungisi Mbunjana
First Half,44,41,es7hqvo318j4vehlut2j3a0yy,N. Mgaga,14,1,75.0,69.3,0.0,0.0165628287941217,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Post,Golden Arrows,2024/25,Premier Soccer League,Nhlanhla Mgaga
First Half,44,45,100gtoc2x0ica9p01rv3srmxh,M. Munyai,15,1,90.9,33.3,0.0743988305330276,0.0947263091802597,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Saved,Golden Arrows,2024/25,Premier Soccer League,Marks Munyai
First Half,47,13,3ew70292t6el1ehxjxz4b6zmd,N. Sibiya,15,1,91.9,26.7,0.1710680574178695,0.0132778156548738,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Nduduzo Sibiya
Second Half,46,17,ck6kr4ybih256jt6qm1i8spyi,T. Mantshiyane,15,1,90.8,43.4,0.0,0.0462147556245327,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Themba Mantshiyane
Second Half,47,13,c38nw942u1sycwpxtfbrw8h5h,V. Letsoalo,15,1,90.3,46.6,0.2364643514156341,0.4111138880252838,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Saved,Golden Arrows,2024/25,Premier Soccer League,Victor Letsoalo
Second Half,52,34,3h24c98s4onmmac27vdvsjaxg,K. Sebelebele,13,1,86.7,47.7,0.0,0.0647701695561409,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Miss,Golden Arrows,2024/25,Premier Soccer League,Kamogelo Sebelebele
Second Half,62,31,ck6kr4ybih256jt6qm1i8spyi,T. Mantshiyane,13,1,87.9,60.0,0.0,0.0299912560731172,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Miss,TS Galaxy,2024/25,Premier Soccer League,Themba Mantshiyane
Second Half,65,46,9adqw1cqiif4h32d6hn0xiq6s,S. Mthanti,15,1,85.8,50.7,0.0372537486255168,0.0289072338491678,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,Golden Arrows,Saved,TS Galaxy,2024/25,Premier Soccer League,Siyanda Mthanti
Second Half,80,40,es7hqvo318j4vehlut2j3a0yy,N. Mgaga,15,1,76.8,43.0,0.1816044002771377,0.0468251183629035,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Saved,Golden Arrows,2024/25,Premier Soccer League,Nhlanhla Mgaga
Second Half,90,17,94p2i27lhoff9ou052cevuvah,M. Mbunjana,13,1,91.6,58.8,0.0,0.1622785478830337,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Miss,Golden Arrows,2024/25,Premier Soccer League,Mlungisi Mbunjana
Second Half,91,56,8mfo3l4x8h88cei4738napzis,K. Ndamane,13,1,85.3,46.4,0.0,0.0105838924646377,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Miss,Golden Arrows,2024/25,Premier Soccer League,Kulumani Ndamane
Second Half,95,56,343hpynl1906zsmrj9q294bmd,K. Dolly,14,1,74.1,40.5,0.0,0.0526204369962215,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Post,Golden Arrows,2024/25,Premier Soccer League,Keagan Dolly
Second Half,95,57,100gtoc2x0ica9p01rv3srmxh,M. Munyai,15,1,92.2,36.9,0.0,0.1850761473178863,Golden Arrows vs TS Galaxy - 1:1,2025-01-18,TS Galaxy,Saved,Golden Arrows,2024/25,Premier Soccer League,Marks Munyai
First Half,11,26,7jo58y1spxh3vgwyvw552z015,W. Makhubu,16,1,94.8,57.5,0.3895321786403656,0.1029551103711128,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Magesi FC,Goal,Mamelodi Sundowns,2024/25,Premier Soccer League,Wonderboy Makhubu
First Half,19,3,df3qcv6arvu13bukwrbyrj2fo,M. Khoza,13,1,90.3,50.3,0.0,0.0440131090581417,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Malibongwe Khoza
First Half,21,9,5nqhrih0m3mavq6xas4b3f1lh,D. Mekoa,13,1,70.4,39.3,0.0,0.0295202694833278,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Magesi FC,Miss,Mamelodi Sundowns,2024/25,Premier Soccer League,Deolin Mekoa
First Half,21,56,aozjar4nxm7wzvy1m3l2dxyax,T. Mokoena,13,1,71.3,44.2,0.0,0.022372480481863,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Teboho Mokoena
First Half,27,30,bqjuewn9bilvefsqj6dyj1711,G. Kekana,13,1,95.7,65.2,0.0,0.0202928502112627,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Gomolemo Kekana
First Half,33,14,7wlwd9yo0z03djo89wilufmne,Lucas Ribeiro Costa,13,1,89.9,38.0,0.0,0.0582831166684627,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Lucas Ribeiro Costa
First Half,35,25,7wlwd9yo0z03djo89wilufmne,Lucas Ribeiro Costa,13,1,73.8,26.2,0.0,0.0124803222715854,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Lucas Ribeiro Costa
First Half,36,27,7jo58y1spxh3vgwyvw552z015,W. Makhubu,15,1,88.6,58.9,0.1980553418397903,0.1800243407487869,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Magesi FC,Saved,Mamelodi Sundowns,2024/25,Premier Soccer League,Wonderboy Makhubu
First Half,38,14,9nofndp9ci8btkl494jhxyx2h,S. Darpoh,13,1,83.1,40.9,0.0,0.0085309380665421,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Magesi FC,Miss,Mamelodi Sundowns,2024/25,Premier Soccer League,Samuel Darpoh
Second Half,46,12,c6c6db8696m6h3vh7jkv512xg,T. Kakora,15,1,89.2,53.4,0.0,0.0503310747444629,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Magesi FC,Saved,Mamelodi Sundowns,2024/25,Premier Soccer League,Tshepo Kakora
Second Half,49,59,94v0gyaccr498bwf5enqyhox6,T. Matthews,15,1,86.4,62.0,0.0,0.0389350540935993,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Saved,Magesi FC,2024/25,Premier Soccer League,Tashreeq Matthews
Second Half,50,2,31v8oj4g71deihi2p1qw8r36x,M. Allende,13,1,77.4,68.7,0.0,0.0098003819584846,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Marcelo Allende
Second Half,55,8,4bh1iqhcri5wg5oyjucswbvv8,D. Abrahams,15,1,90.5,27.0,0.0845788493752479,0.0267466641962528,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Magesi FC,Saved,Mamelodi Sundowns,2024/25,Premier Soccer League,Delano Abrahams
Second Half,61,44,7wlwd9yo0z03djo89wilufmne,Lucas Ribeiro Costa,13,1,84.9,30.9,0.0,0.0344927534461021,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Miss,Magesi FC,2024/25,Premier Soccer League,Lucas Ribeiro Costa
Second Half,63,44,7wlwd9yo0z03djo89wilufmne,Lucas Ribeiro Costa,16,1,89.6,44.0,0.6996303200721741,0.0954124704003334,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Goal,Magesi FC,2024/25,Premier Soccer League,Lucas Ribeiro Costa
Second Half,75,57,df3qcv6arvu13bukwrbyrj2fo,M. Khoza,15,1,65.4,64.4,0.0,0.0153536293655633,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Saved,Magesi FC,2024/25,Premier Soccer League,Malibongwe Khoza
Second Half,85,42,94v0gyaccr498bwf5enqyhox6,T. Matthews,16,1,83.9,73.6,0.1592421382665634,0.0374295301735401,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Goal,Magesi FC,2024/25,Premier Soccer League,Tashreeq Matthews
Second Half,90,1,94v0gyaccr498bwf5enqyhox6,T. Matthews,15,1,84.9,42.3,0.5306939482688904,0.4063780903816223,Magesi FC vs Mamelodi Sundowns - 1:2,2025-01-22,Mamelodi Sundowns,Saved,Magesi FC,2024/25,Premier Soccer League,Tashreeq Matthews
First Half,3,7,c35dqpgxpgcsksos3smw2hr84,W. Duba,13,1,82.4,66.7,0.0,0.049418605864048,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Miss,Sekhukhune United,2024/25,Premier Soccer League,Wandile Duba
First Half,5,36,erknmg4qlmow0gozl27xik6xg,S. Zwane,15,1,71.8,63.4,0.0,0.0156194288283586,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Samkelo Zwane
First Half,7,26,8jkn8thuzd984s8zbw0r20b2s,R. Dortley,15,1,90.8,43.2,0.2564457058906555,0.0282623283565044,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Rushwin Dortley
First Half,11,35,6atjccuxqe0xphu3yvq1p165m,P. Mmodi,15,1,87.0,66.4,0.0,0.0210742931813001,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Pule Mmodi
First Half,17,4,c35dqpgxpgcsksos3smw2hr84,W. Duba,13,1,81.6,52.1,0.0,0.0854977592825889,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Miss,Sekhukhune United,2024/25,Premier Soccer League,Wandile Duba
First Half,18,23,5msfkgcn1lip71ytlhhuvhwk4,S. Mthethwa,13,1,79.2,44.5,0.0,0.0946333184838295,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Miss,Sekhukhune United,2024/25,Premier Soccer League,Sibongiseni Mthethwa
First Half,20,13,6atjccuxqe0xphu3yvq1p165m,P. Mmodi,13,1,77.5,52.3,0.0,0.0544793605804443,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Miss,Sekhukhune United,2024/25,Premier Soccer League,Pule Mmodi
First Half,20,47,c35dqpgxpgcsksos3smw2hr84,W. Duba,15,1,91.4,48.1,0.1644922047853469,0.1670321524143219,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Wandile Duba
First Half,22,50,erknmg4qlmow0gozl27xik6xg,S. Zwane,15,1,67.3,66.7,0.0307296849787235,0.016079094260931,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Samkelo Zwane
First Half,28,49,c9uv7o2cqaqthib3b5wrgp8bu,K. Otladisa,15,1,81.3,49.9,0.0,0.0690456703305244,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Saved,Kaizer Chiefs,2024/25,Premier Soccer League,Katlego Otladisa
First Half,29,8,5yvarv6mv7hixv3yejln1prtg,A. Boyeli,14,1,97.4,42.5,0.0,0.1757144480943679,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Post,Kaizer Chiefs,2024/25,Premier Soccer League,Andy Boyeli
First Half,30,6,8aosehqgcvgtiwg2k4pp94ys4,V. Letlapa,15,1,71.9,74.0,0.034958615899086,0.0109316548332571,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Saved,Kaizer Chiefs,2024/25,Premier Soccer League,Vuyo Letlapa
First Half,31,33,c9uv7o2cqaqthib3b5wrgp8bu,K. Otladisa,15,1,71.9,25.6,0.0,0.0109316548332571,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Saved,Kaizer Chiefs,2024/25,Premier Soccer League,Katlego Otladisa
First Half,37,13,zhi0x6muc1kkd28cvoxlqtih,K. Makgalwa,15,1,86.8,34.8,0.0,0.0301378201693296,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Saved,Kaizer Chiefs,2024/25,Premier Soccer League,Keletso Makgalwa
First Half,40,8,dma8ns7ijd6dsh5cnre2478fe,L. Matlou,15,1,76.8,31.9,0.0105241192504763,0.0236930567771196,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Lehlogonolo Matlou
First Half,44,24,5hh15kt6pdgdczlpk1je2bjd,T. Potsane,15,1,88.4,40.5,0.9847394227981568,0.6417917013168335,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Tebogo Potsane
Second Half,50,1,zhi0x6muc1kkd28cvoxlqtih,K. Makgalwa,13,1,86.4,74.0,0.0,0.0265852343291044,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Miss,Kaizer Chiefs,2024/25,Premier Soccer League,Keletso Makgalwa
Second Half,53,34,4hcftulhqupbki6dw4tayxu5l,R. Mokhuoane,15,1,75.5,69.0,0.0,0.0589335039258003,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Saved,Kaizer Chiefs,2024/25,Premier Soccer League,Relebogile Mokhuoane
Second Half,57,57,blpbtwog5wsgg815r8rvsvxsl,D. Cardoso,13,1,93.0,40.5,0.0,0.0351433269679546,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Miss,Kaizer Chiefs,2024/25,Premier Soccer League,Daniel Cardoso
Second Half,63,48,6atjccuxqe0xphu3yvq1p165m,P. Mmodi,15,1,87.7,37.4,0.0,0.0923000201582908,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Pule Mmodi
Second Half,65,24,3shnebdid9inl4hz60uelhvdg,M. Vilakazi,15,1,72.6,49.9,0.0,0.0531166233122348,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Mfundo Vilakazi
Second Half,66,5,femn1t98rrea56260yhe2mll,Y. Maart,13,1,70.6,43.4,0.0,0.0193334743380546,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Miss,Sekhukhune United,2024/25,Premier Soccer League,Yusuf Maart
Second Half,71,28,cticjwbywaji7ga75bxothces,T. Yamba,13,1,88.1,49.5,0.0,0.0194035004824399,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Miss,Kaizer Chiefs,2024/25,Premier Soccer League,Trésor Yamba
Second Half,75,20,femn1t98rrea56260yhe2mll,Y. Maart,13,1,60.1,63.3,0.0,0.0162069536745548,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Miss,Sekhukhune United,2024/25,Premier Soccer League,Yusuf Maart
Second Half,78,35,3shnebdid9inl4hz60uelhvdg,M. Vilakazi,15,1,89.6,39.3,0.3480080664157867,0.2274654656648636,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Mfundo Vilakazi
Second Half,85,49,3shnebdid9inl4hz60uelhvdg,M. Vilakazi,16,1,86.7,35.2,0.7496680617332458,0.0340951420366764,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Goal,Sekhukhune United,2024/25,Premier Soccer League,Mfundo Vilakazi
Second Half,87,30,1c3efgir5jhwv1bvptrs4hk9h,L. Mntambo,13,1,64.5,67.1,0.0,0.01975510828197,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Miss,Kaizer Chiefs,2024/25,Premier Soccer League,Linda Mntambo
Second Half,95,17,2q8u5vxbktffomz2nqbksbgus,E. Rammala,15,1,89.0,59.5,0.1027365997433662,0.0509359799325466,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Sekhukhune United,Saved,Kaizer Chiefs,2024/25,Premier Soccer League,Ngoanamello Rammala
Second Half,97,6,3shnebdid9inl4hz60uelhvdg,M. Vilakazi,15,1,84.4,54.2,0.0,0.058611936867237,Kaizer Chiefs vs Sekhukhune United - 1:0,2025-01-19,Kaizer Chiefs,Saved,Sekhukhune United,2024/25,Premier Soccer League,Mfundo Vilakazi
First Half,5,1,bqdretihm0o8yjh2qz7n1d4gl,W. Jooste,13,1,69.7,48.3,0.0,0.0156906824558973,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,AmaZulu FC,Miss,Stellenbosch FC,2024/25,Premier Soccer League,Wayde Jooste
First Half,25,38,315d3i044rg1y9r4ctewu0e8k,E. Ighodaro,15,1,89.1,43.1,0.0,0.0314157642424106,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,AmaZulu FC,Saved,Stellenbosch FC,2024/25,Premier Soccer League,Etiosa Ighodaro
First Half,30,30,2szda1seiub202sg1u14pfcic,C. Butsaka,15,1,75.7,48.3,0.0,0.0359937697649002,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Saved,AmaZulu FC,2024/25,Premier Soccer League,Chumani Butsaka
First Half,31,14,7m8dt8qv31kjogwqn7au3h9n8,D. Titus,13,1,71.8,40.5,0.0,0.0299016498029232,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Miss,AmaZulu FC,2024/25,Premier Soccer League,Devin Titus
First Half,34,0,4zn38nayzmo99jmw9s3ezvr4k,K. Lekoloane,16,1,84.2,56.2,0.5313488841056824,0.0885315090417862,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Goal,AmaZulu FC,2024/25,Premier Soccer League,Khomotjo Lekoloane
First Half,38,53,72lkpdcco8w8zayztvn7xv3vu,R. Human,15,1,86.4,66.3,0.0,0.0418041720986366,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,AmaZulu FC,Saved,Stellenbosch FC,2024/25,Premier Soccer League,Rowan Human
First Half,40,52,2jpwrsypy5q7c6wh0g8q8roid,A. de Jong,15,1,78.8,53.2,0.0701908320188522,0.0764216482639312,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Saved,AmaZulu FC,2024/25,Premier Soccer League,Andre de Jong
First Half,42,19,2szda1seiub202sg1u14pfcic,C. Butsaka,15,1,80.8,52.1,0.1388286054134369,0.0913882851600647,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Saved,AmaZulu FC,2024/25,Premier Soccer League,Chumani Butsaka
First Half,43,15,9p7mp726yp7xfznysms3g6djo,A. Cupido,15,1,88.9,36.0,0.1137842983007431,0.1298817545175552,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Saved,AmaZulu FC,2024/25,Premier Soccer League,Ashley Cupido
First Half,45,59,4zn38nayzmo99jmw9s3ezvr4k,K. Lekoloane,13,1,97.3,41.5,0.0,0.1130227446556091,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Miss,AmaZulu FC,2024/25,Premier Soccer League,Khomotjo Lekoloane
Second Half,48,11,336oxxdqii2zx4ilzujwjlujt,F. Basadien,15,1,82.2,47.2,0.1074042841792106,0.0923321023583412,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Saved,AmaZulu FC,2024/25,Premier Soccer League,Fawaaz Basadien
Second Half,51,24,4zn38nayzmo99jmw9s3ezvr4k,K. Lekoloane,15,1,84.4,67.7,0.0,0.0376452654600143,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Saved,AmaZulu FC,2024/25,Premier Soccer League,Khomotjo Lekoloane
Second Half,53,1,9p7mp726yp7xfznysms3g6djo,A. Cupido,13,1,87.4,37.0,0.0,0.0933775603771209,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Miss,AmaZulu FC,2024/25,Premier Soccer League,Ashley Cupido
Second Half,56,39,7m8dt8qv31kjogwqn7au3h9n8,D. Titus,16,1,90.8,36.6,0.3127200603485107,0.1588797867298126,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Goal,AmaZulu FC,2024/25,Premier Soccer League,Devin Titus
Second Half,59,48,1fkutuy654z6forx8xhhqe2ju,S. Nduli,13,1,82.8,35.4,0.0,0.0276686046272516,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Miss,AmaZulu FC,2024/25,Premier Soccer League,Sihle Nduli
Second Half,59,52,2szda1seiub202sg1u14pfcic,C. Butsaka,16,1,78.3,43.3,0.2219453901052475,0.0269464049488306,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Goal,AmaZulu FC,2024/25,Premier Soccer League,Chumani Butsaka
Second Half,61,51,315d3i044rg1y9r4ctewu0e8k,E. Ighodaro,13,1,90.6,50.9,0.0,0.0724815055727958,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,AmaZulu FC,Miss,Stellenbosch FC,2024/25,Premier Soccer League,Etiosa Ighodaro
Second Half,65,31,7m8dt8qv31kjogwqn7au3h9n8,D. Titus,16,1,89.3,46.4,0.7655518054962158,0.2400816977024078,AmaZulu FC vs Stellenbosch FC - 0:5,2025-01-23,Stellenbosch FC,Goal,AmaZulu FC,2024/25,Premier Soccer League,Devin Titus
